file,time_sec,confidence,status,nakamura_dt_sec
xa.s12.00.mhz.1970-03-25HR00_evid00003,12858.0,0.679,fp_matches_nakamura,138.0
xa.s12.00.mhz.1970-03-26HR00_evid00004,289.8,0.872,benchmark_fp,
xa.s12.00.mhz.1970-03-26HR00_evid00004,19900.4,0.611,benchmark_fp,
xa.s12.00.mhz.1970-03-26HR00_evid00004,23745.2,0.644,benchmark_fp,
xa.s12.00.mhz.1970-03-26HR00_evid00004,72916.5,0.875,benchmark_tp,
xa.s12.00.mhz.1970-04-25HR00_evid00006,289.8,0.876,benchmark_fp,
xa.s12.00.mhz.1970-04-25HR00_evid00006,4530.7,0.778,benchmark_tp,
xa.s12.00.mhz.1970-04-26HR00_evid00007,52204.7,0.816,benchmark_tp,
xa.s12.00.mhz.1970-11-12HR00_evid00015,289.8,0.661,benchmark_fp,
xa.s12.00.mhz.1970-11-12HR00_evid00015,46379.5,0.823,fp_matches_nakamura,180.0
xa.s12.00.mhz.1970-12-11HR00_evid00017,289.8,0.888,benchmark_fp,
xa.s12.00.mhz.1970-12-11HR00_evid00017,26604.7,0.765,benchmark_tp,
xa.s12.00.mhz.1970-12-27HR00_evid00019,289.8,0.869,benchmark_fp,
xa.s12.00.mhz.1970-12-27HR00_evid00019,74066.1,0.485,benchmark_tp,
xa.s12.00.mhz.1970-12-31HR00_evid00021,289.8,0.869,benchmark_fp,
xa.s12.00.mhz.1970-12-31HR00_evid00021,8752.3,0.75,benchmark_fp,
xa.s12.00.mhz.1970-12-31HR00_evid00021,56358.6,0.87,benchmark_tp,
xa.s12.00.mhz.1970-12-31HR00_evid00021,78036.5,0.426,benchmark_fp,
xa.s12.00.mhz.1971-01-28HR00_evid00023,289.8,0.872,benchmark_fp,
xa.s12.00.mhz.1971-01-28HR00_evid00023,53933.9,0.861,benchmark_tp,
xa.s12.00.mhz.1971-01-29HR00_evid00024,289.8,0.869,benchmark_fp,
xa.s12.00.mhz.1971-01-29HR00_evid00024,66183.2,0.562,fp_matches_nakamura,123.0
xa.s12.00.mhz.1971-10-20HR00_evid00044,289.8,0.858,benchmark_fp,
xa.s12.00.mhz.1971-10-20HR00_evid00044,65033.7,0.829,fp_matches_nakamura,246.0
xa.s12.00.mhz.1971-10-20HR00_evid00044,77360.3,0.368,benchmark_fp,
xa.s12.00.mhz.1972-01-04HR00_evid00049,289.8,0.868,benchmark_fp,
xa.s12.00.mhz.1972-01-04HR00_evid00049,23532.7,0.745,fp_matches_nakamura,167.0
xa.s12.00.mhz.1972-03-12HR00_evid00052,30420.5,0.397,benchmark_fp,
xa.s12.00.mhz.1972-03-12HR00_evid00052,51016.5,0.856,benchmark_fp,
xa.s12.00.mhz.1972-03-12HR00_evid00052,64917.7,0.73,benchmark_tp,
xa.s12.00.mhz.1972-07-17HR00_evid00067,289.8,0.874,benchmark_fp,
xa.s12.00.mhz.1972-07-17HR00_evid00067,28266.3,0.668,benchmark_tp,
xa.s12.00.mhz.1972-07-17HR00_evid00067,79118.5,0.662,fp_matches_nakamura,159.0
xa.s12.00.mhz.1972-07-31HR00_evid00071,289.8,0.875,benchmark_fp,
xa.s12.00.mhz.1972-07-31HR00_evid00071,65487.7,0.823,fp_matches_nakamura,208.0
xa.s12.00.mhz.1973-07-28HR00_evid00120,2840.2,0.872,fp_matches_nakamura,280.0
xa.s12.00.mhz.1973-07-28HR00_evid00120,67033.4,0.616,benchmark_fp,
xa.s12.00.mhz.1974-07-06HR00_evid00150,695.5,0.449,benchmark_fp,
xa.s12.00.mhz.1974-07-06HR00_evid00150,10500.8,0.803,benchmark_tp,
xa.s12.00.mhz.1974-07-06HR00_evid00150,51441.5,0.749,fp_matches_nakamura,202.0
xa.s12.00.mhz.1974-07-11HR00_evid00152,3052.7,0.572,benchmark_tp,
xa.s12.00.mhz.1975-05-04HR00_evid00192,289.8,0.9,benchmark_fp,
xa.s12.00.mhz.1975-05-04HR00_evid00192,36216.8,0.901,benchmark_tp,
xa.s12.00.mhz.1975-06-24HR00_evid00196,57720.8,0.834,benchmark_tp,
xa.s12.00.mhz.1975-06-26HR00_evid00198,12249.4,0.768,benchmark_tp,
