file,time_sec,confidence,status,nakamura_dt_sec
xa.s12.00.mhz.1970-03-25HR00_evid00003,12848.3,0.712,fp_matches_nakamura,129.0
xa.s12.00.mhz.1970-03-26HR00_evid00004,289.8,0.88,benchmark_fp,
xa.s12.00.mhz.1970-03-26HR00_evid00004,23648.6,0.721,benchmark_fp,
xa.s12.00.mhz.1970-03-26HR00_evid00004,72945.5,0.882,benchmark_tp,
xa.s12.00.mhz.1970-04-25HR00_evid00006,289.8,0.869,benchmark_fp,
xa.s12.00.mhz.1970-04-25HR00_evid00006,4530.7,0.798,benchmark_tp,
xa.s12.00.mhz.1970-04-26HR00_evid00007,52175.7,0.848,benchmark_tp,
xa.s12.00.mhz.1970-11-12HR00_evid00015,289.8,0.679,benchmark_fp,
xa.s12.00.mhz.1970-11-12HR00_evid00015,46360.2,0.851,fp_matches_nakamura,161.0
xa.s12.00.mhz.1970-12-11HR00_evid00017,289.8,0.877,benchmark_fp,
xa.s12.00.mhz.1970-12-11HR00_evid00017,26604.7,0.744,benchmark_tp,
xa.s12.00.mhz.1970-12-27HR00_evid00019,289.8,0.857,benchmark_fp,
xa.s12.00.mhz.1970-12-27HR00_evid00019,74017.8,0.571,benchmark_tp,
xa.s12.00.mhz.1970-12-31HR00_evid00021,289.8,0.873,benchmark_fp,
xa.s12.00.mhz.1970-12-31HR00_evid00021,8694.3,0.875,benchmark_fp,
xa.s12.00.mhz.1970-12-31HR00_evid00021,56368.3,0.869,benchmark_tp,
xa.s12.00.mhz.1971-01-28HR00_evid00023,289.8,0.867,benchmark_fp,
xa.s12.00.mhz.1971-01-28HR00_evid00023,53895.2,0.869,benchmark_tp,
xa.s12.00.mhz.1971-01-29HR00_evid00024,289.8,0.872,benchmark_fp,
xa.s12.00.mhz.1971-01-29HR00_evid00024,66154.3,0.6,benchmark_tp,
xa.s12.00.mhz.1971-10-20HR00_evid00044,289.8,0.85,benchmark_fp,
xa.s12.00.mhz.1971-10-20HR00_evid00044,65043.3,0.775,fp_matches_nakamura,236.0
xa.s12.00.mhz.1971-10-20HR00_evid00044,77118.8,0.606,benchmark_fp,
xa.s12.00.mhz.1972-01-04HR00_evid00049,289.8,0.868,benchmark_fp,
xa.s12.00.mhz.1972-01-04HR00_evid00049,23513.4,0.726,fp_matches_nakamura,187.0
xa.s12.00.mhz.1972-03-12HR00_evid00052,51026.1,0.832,benchmark_fp,
xa.s12.00.mhz.1972-03-12HR00_evid00052,64888.8,0.748,benchmark_tp,
xa.s12.00.mhz.1972-07-17HR00_evid00067,289.8,0.871,benchmark_fp,
xa.s12.00.mhz.1972-07-17HR00_evid00067,28246.9,0.592,benchmark_tp,
xa.s12.00.mhz.1972-07-17HR00_evid00067,79099.2,0.582,fp_matches_nakamura,139.0
xa.s12.00.mhz.1972-07-31HR00_evid00071,289.8,0.866,benchmark_fp,
xa.s12.00.mhz.1972-07-31HR00_evid00071,65526.3,0.826,fp_matches_nakamura,247.0
xa.s12.00.mhz.1973-07-28HR00_evid00120,2888.5,0.838,fp_matches_nakamura,231.0
xa.s12.00.mhz.1973-07-28HR00_evid00120,66927.1,0.646,benchmark_fp,
xa.s12.00.mhz.1974-07-06HR00_evid00150,289.8,0.574,benchmark_fp,
xa.s12.00.mhz.1974-07-06HR00_evid00150,10500.8,0.841,benchmark_tp,
xa.s12.00.mhz.1974-07-06HR00_evid00150,51451.2,0.768,fp_matches_nakamura,211.0
xa.s12.00.mhz.1974-07-11HR00_evid00152,3072.0,0.688,benchmark_tp,
xa.s12.00.mhz.1975-05-04HR00_evid00192,289.8,0.89,benchmark_fp,
xa.s12.00.mhz.1975-05-04HR00_evid00192,36129.8,0.868,fp_matches_nakamura,170.0
xa.s12.00.mhz.1975-06-24HR00_evid00196,57653.1,0.865,fp_matches_nakamura,127.0
xa.s12.00.mhz.1975-06-26HR00_evid00198,12268.7,0.805,benchmark_tp,
