file,time_sec,confidence,status,nakamura_dt_sec
xa.s12.00.mhz.1970-03-25HR00_evid00003,12848.3,0.748,fp_matches_nakamura,129.0
xa.s12.00.mhz.1970-03-26HR00_evid00004,289.8,0.88,benchmark_fp,
xa.s12.00.mhz.1970-03-26HR00_evid00004,72935.8,0.852,benchmark_tp,
xa.s12.00.mhz.1970-04-25HR00_evid00006,289.8,0.831,benchmark_fp,
xa.s12.00.mhz.1970-04-25HR00_evid00006,4588.7,0.805,fp_matches_nakamura,149.0
xa.s12.00.mhz.1970-04-26HR00_evid00007,52185.4,0.835,benchmark_tp,
xa.s12.00.mhz.1970-11-12HR00_evid00015,289.8,0.827,benchmark_fp,
xa.s12.00.mhz.1970-11-12HR00_evid00015,46379.5,0.858,fp_matches_nakamura,180.0
xa.s12.00.mhz.1970-12-11HR00_evid00017,289.8,0.898,benchmark_fp,
xa.s12.00.mhz.1970-12-11HR00_evid00017,26614.3,0.772,benchmark_tp,
xa.s12.00.mhz.1970-12-27HR00_evid00019,289.8,0.815,benchmark_fp,
xa.s12.00.mhz.1970-12-27HR00_evid00019,74037.1,0.611,benchmark_tp,
xa.s12.00.mhz.1970-12-31HR00_evid00021,289.8,0.812,benchmark_fp,
xa.s12.00.mhz.1970-12-31HR00_evid00021,56378.0,0.836,benchmark_tp,
xa.s12.00.mhz.1971-01-28HR00_evid00023,289.8,0.809,benchmark_fp,
xa.s12.00.mhz.1971-01-28HR00_evid00023,53953.2,0.86,benchmark_tp,
xa.s12.00.mhz.1971-01-29HR00_evid00024,289.8,0.853,benchmark_fp,
xa.s12.00.mhz.1971-01-29HR00_evid00024,66183.2,0.751,fp_matches_nakamura,123.0
xa.s12.00.mhz.1971-10-20HR00_evid00044,289.8,0.88,benchmark_fp,
xa.s12.00.mhz.1971-10-20HR00_evid00044,65014.3,0.759,fp_matches_nakamura,265.0
xa.s12.00.mhz.1972-01-04HR00_evid00049,289.8,0.807,benchmark_fp,
xa.s12.00.mhz.1972-01-04HR00_evid00049,23552.0,0.751,fp_matches_nakamura,148.0
xa.s12.00.mhz.1972-03-12HR00_evid00052,64917.7,0.749,benchmark_tp,
xa.s12.00.mhz.1972-07-17HR00_evid00067,289.8,0.82,benchmark_fp,
xa.s12.00.mhz.1972-07-17HR00_evid00067,28275.9,0.726,benchmark_tp,
xa.s12.00.mhz.1972-07-17HR00_evid00067,79118.5,0.658,fp_matches_nakamura,159.0
xa.s12.00.mhz.1972-07-31HR00_evid00071,289.8,0.801,benchmark_fp,
xa.s12.00.mhz.1972-07-31HR00_evid00071,65497.4,0.811,fp_matches_nakamura,218.0
xa.s12.00.mhz.1973-07-28HR00_evid00120,3043.0,0.792,benchmark_tp,
xa.s12.00.mhz.1974-07-06HR00_evid00150,289.8,0.746,benchmark_fp,
xa.s12.00.mhz.1974-07-06HR00_evid00150,10520.2,0.748,benchmark_tp,
xa.s12.00.mhz.1974-07-06HR00_evid00150,51460.8,0.794,fp_matches_nakamura,221.0
xa.s12.00.mhz.1974-07-11HR00_evid00152,3072.0,0.699,benchmark_tp,
xa.s12.00.mhz.1975-05-04HR00_evid00192,289.8,0.869,benchmark_fp,
xa.s12.00.mhz.1975-05-04HR00_evid00192,36226.4,0.874,benchmark_tp,
xa.s12.00.mhz.1975-06-24HR00_evid00196,57749.7,0.847,benchmark_tp,
xa.s12.00.mhz.1975-06-26HR00_evid00198,12365.3,0.756,fp_matches_nakamura,126.0
xa.s12.00.mhz.1975-06-26HR00_evid00198,48485.4,0.616,fp_matches_nakamura,66.0
