file,time_sec,confidence,status,nakamura_dt_sec
xa.s12.00.mhz.1970-03-25HR00_evid00003,13109.1,0.755,benchmark_fp,
xa.s12.00.mhz.1970-03-26HR00_evid00004,73090.4,0.857,benchmark_tp,
xa.s12.00.mhz.1970-04-25HR00_evid00006,4646.6,0.808,fp_matches_nakamura,207.0
xa.s12.00.mhz.1970-11-12HR00_evid00015,46427.8,0.838,fp_matches_nakamura,228.0
xa.s12.00.mhz.1970-12-11HR00_evid00017,26624.0,0.764,benchmark_tp,
xa.s12.00.mhz.1970-12-31HR00_evid00021,56387.6,0.891,benchmark_tp,
xa.s12.00.mhz.1971-01-29HR00_evid00024,753.5,0.493,benchmark_fp,
xa.s12.00.mhz.1972-01-04HR00_evid00049,289.8,0.852,benchmark_fp,
xa.s12.00.mhz.1972-01-04HR00_evid00049,23648.6,0.739,benchmark_tp,
xa.s12.00.mhz.1972-03-12HR00_evid00052,65043.3,0.674,fp_matches_nakamura,244.0
xa.s12.00.mhz.1972-07-17HR00_evid00067,28498.1,0.603,fp_matches_nakamura,298.0
xa.s12.00.mhz.1972-07-17HR00_evid00067,79234.4,0.552,fp_matches_nakamura,275.0
xa.s12.00.mhz.1972-07-31HR00_evid00071,65574.6,0.81,fp_matches_nakamura,295.0
xa.s12.00.mhz.1973-07-28HR00_evid00120,3091.3,0.829,benchmark_tp,
xa.s12.00.mhz.1974-07-06HR00_evid00150,10520.2,0.782,benchmark_tp,
xa.s12.00.mhz.1975-05-04HR00_evid00192,685.9,0.663,benchmark_fp,
xa.s12.00.mhz.1975-05-04HR00_evid00192,36284.4,0.892,benchmark_tp,
xa.s12.00.mhz.1975-06-26HR00_evid00198,12519.8,0.775,fp_matches_nakamura,280.0
